"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Jon Lester",12500,"ChC@SD 10:10PM ET",19.508,"ChC"
"SP","Carlos Carrasco",11500,"Cle@Oak 10:05PM ET",19.126,"Cle"
"SP","David Price",11000,"Bos@TB 07:10PM ET",18.544,"Bos"
"SP","Jameson Taillon",9100,"Hou@Pit 07:05PM ET",16.064,"Pit"
"SP","Michael Pineda",7700,"NYY@Sea 10:10PM ET",15.773,"NYY"
"SP","Mike Foltynewicz",6900,"Atl@Ari 09:40PM ET",13.441,"Atl"
"SP","Blake Snell",6800,"Bos@TB 07:10PM ET",15.646,"TB"
"SP","Dylan Bundy",6600,"Was@Bal 07:05PM ET",7.453,"Bal"
"SP","A.J. Cole",6400,"Was@Bal 07:05PM ET",0,"Was"
"SP","Doug Fister",6100,"Hou@Pit 07:05PM ET",13.479,"Hou"
"SP","Zack Godley",5500,"Atl@Ari 09:40PM ET",8.029,"Ari"
"SP","Chad Bettis",5200,"Col@Mil 07:20PM ET",10.976,"Col"
"SP","Jimmy Nelson",5100,"Col@Mil 07:20PM ET",11.788,"Mil"
"SP","Edwin Jackson",4300,"ChC@SD 10:10PM ET",4.909,"SD"
"SP","Cody Martin",4000,"NYY@Sea 10:10PM ET",4.608,"Sea"
"SP","Andrew Triggs",4000,"Cle@Oak 10:05PM ET",4.367,"Oak"
"OF","Charlie Blackmon",5600,"Col@Mil 07:20PM ET",10.018,"Col"
"2B","Jose Altuve",5500,"Hou@Pit 07:05PM ET",11.024,"Hou"
"3B/OF","Kris Bryant",5500,"ChC@SD 10:10PM ET",10.400,"ChC"
"1B","Freddie Freeman",5400,"Atl@Ari 09:40PM ET",8.795,"Atl"
"OF","Bryce Harper",5400,"Was@Bal 07:05PM ET",8.877,"Was"
"OF","Rajai Davis",5300,"Cle@Oak 10:05PM ET",8.154,"Cle"
"1B/2B","Daniel Murphy",5300,"Was@Bal 07:05PM ET",9.647,"Was"
"1B","Anthony Rizzo",5300,"ChC@SD 10:10PM ET",9.537,"ChC"
"2B/OF","Trea Turner",5300,"Was@Bal 07:05PM ET",11.235,"Was"
"OF","Carlos Gonzalez",5200,"Col@Mil 07:20PM ET",9.175,"Col"
"2B","Jason Kipnis",5200,"Cle@Oak 10:05PM ET",8.815,"Cle"
"2B","Jean Segura",5200,"Atl@Ari 09:40PM ET",9.350,"Ari"
"OF","Starling Marte",5200,"Hou@Pit 07:05PM ET",9.018,"Pit"
"OF","Mookie Betts",5200,"Bos@TB 07:10PM ET",10.992,"Bos"
"3B/OF","Jose Ramirez",5200,"Cle@Oak 10:05PM ET",8.287,"Cle"
"SS","Francisco Lindor",5100,"Cle@Oak 10:05PM ET",8.653,"Cle"
"3B","Anthony Rendon",5000,"Was@Bal 07:05PM ET",8.151,"Was"
"1B","Paul Goldschmidt",5000,"Atl@Ari 09:40PM ET",9.746,"Ari"
"2B","Robinson Cano",4900,"NYY@Sea 10:10PM ET",9.000,"Sea"
"2B/OF","Ben Zobrist",4900,"ChC@SD 10:10PM ET",8.298,"ChC"
"1B","Chris Davis",4900,"Was@Bal 07:05PM ET",8.143,"Bal"
"2B","DJ LeMahieu",4900,"Col@Mil 07:20PM ET",8.879,"Col"
"OF","Ender Inciarte",4900,"Atl@Ari 09:40PM ET",6.723,"Atl"
"OF","Gregory Polanco",4900,"Hou@Pit 07:05PM ET",8.370,"Pit"
"OF","Mallex Smith",4900,"Atl@Ari 09:40PM ET",6.466,"Atl"
"OF","Mark Trumbo",4800,"Was@Bal 07:05PM ET",8.762,"Bal"
"OF","Ryan Braun",4800,"Col@Mil 07:20PM ET",9.352,"Mil"
"2B","Logan Forsythe",4800,"Bos@TB 07:10PM ET",8.618,"TB"
"OF","David Dahl",4800,"Col@Mil 07:20PM ET",9.731,"Col"
"1B","David Ortiz",4700,"Bos@TB 07:10PM ET",9.843,"Bos"
"1B","Mike Napoli",4700,"Cle@Oak 10:05PM ET",9.193,"Cle"
"OF","Dexter Fowler",4700,"ChC@SD 10:10PM ET",8.582,"ChC"
"1B","Carlos Santana",4700,"Cle@Oak 10:05PM ET",8.176,"Cle"
"3B","Evan Longoria",4700,"Bos@TB 07:10PM ET",8.742,"TB"
"OF","Jayson Werth",4600,"Was@Bal 07:05PM ET",7.645,"Was"
"1B","Hanley Ramirez",4600,"Bos@TB 07:10PM ET",8.205,"Bos"
"OF","Adam Jones",4600,"Was@Bal 07:05PM ET",8.102,"Bal"
"1B","Mark Reynolds",4600,"Col@Mil 07:20PM ET",6.953,"Col"
"OF","Lonnie Chisenhall",4600,"Cle@Oak 10:05PM ET",6.568,"Cle"
"1B","Pedro Alvarez",4600,"Was@Bal 07:05PM ET",6.915,"Bal"
"3B","Nolan Arenado",4600,"Col@Mil 07:20PM ET",9.828,"Col"
"3B/OF","Hernan Perez",4600,"Col@Mil 07:20PM ET",7.244,"Mil"
"SS","Jonathan Villar",4600,"Col@Mil 07:20PM ET",9.568,"Mil"
"OF","George Springer",4600,"Hou@Pit 07:05PM ET",9.290,"Hou"
"SS","Carlos Correa",4600,"Hou@Pit 07:05PM ET",8.842,"Hou"
"OF","Jorge Soler",4600,"ChC@SD 10:10PM ET",5.500,"ChC"
"C","Wilson Ramos",4500,"Was@Bal 07:05PM ET",8.135,"Was"
"3B","Kyle Seager",4500,"NYY@Sea 10:10PM ET",8.590,"Sea"
"OF","Michael A. Taylor",4500,"Was@Bal 07:05PM ET",5.742,"Was"
"3B/SS","Manny Machado",4500,"Was@Bal 07:05PM ET",9.364,"Bal"
"3B","Jung Ho Kang",4500,"Hou@Pit 07:05PM ET",6.675,"Pit"
"OF","Nick Markakis",4400,"Atl@Ari 09:40PM ET",6.877,"Atl"
"OF","Michael Brantley",4400,"Cle@Oak 10:05PM ET",6.000,"Cle"
"SS","Addison Russell",4400,"ChC@SD 10:10PM ET",7.448,"ChC"
"OF","Rickie Weeks Jr.",4300,"Atl@Ari 09:40PM ET",3.901,"Ari"
"OF","Andrew McCutchen",4300,"Hou@Pit 07:05PM ET",7.643,"Pit"
"OF","Keon Broxton",4300,"Col@Mil 07:20PM ET",6.943,"Mil"
"SS","Didi Gregorius",4300,"NYY@Sea 10:10PM ET",6.974,"NYY"
"3B","Jake Lamb",4300,"Atl@Ari 09:40PM ET",8.365,"Ari"
"C","Gary Sanchez",4300,"NYY@Sea 10:10PM ET",11.188,"NYY"
"OF","Nelson Cruz",4200,"NYY@Sea 10:10PM ET",8.925,"Sea"
"OF","Michael Bourn",4200,"Atl@Ari 09:40PM ET",6.346,"Ari"
"1B","Ryan Zimmerman",4200,"Was@Bal 07:05PM ET",7.159,"Was"
"OF","Brett Gardner",4200,"NYY@Sea 10:10PM ET",6.946,"NYY"
"1B","Chris Carter",4200,"Col@Mil 07:20PM ET",7.645,"Mil"
"OF","Tyler Naquin",4200,"Cle@Oak 10:05PM ET",7.070,"Cle"
"SS","Brad Miller",4200,"Bos@TB 07:10PM ET",7.991,"TB"
"OF","Yasmany Tomas",4200,"Atl@Ari 09:40PM ET",7.849,"Ari"
"SS","Xander Bogaerts",4100,"Bos@TB 07:10PM ET",9.076,"Bos"
"C","Brian McCann",4000,"NYY@Sea 10:10PM ET",6.714,"NYY"
"2B","Dustin Pedroia",4000,"Bos@TB 07:10PM ET",8.261,"Bos"
"OF","Mitch Haniger",4000,"Atl@Ari 09:40PM ET",8.333,"Ari"
"C/OF","Willson Contreras",4000,"ChC@SD 10:10PM ET",6.943,"ChC"
"OF","Aaron Judge",4000,"NYY@Sea 10:10PM ET",9.143,"NYY"
"2B/3B","Javier Baez",4000,"ChC@SD 10:10PM ET",6.019,"ChC"
"OF","Matt Kemp",3900,"Atl@Ari 09:40PM ET",7.817,"Atl"
"3B","Chase Headley",3900,"NYY@Sea 10:10PM ET",5.973,"NYY"
"OF","Jacoby Ellsbury",3900,"NYY@Sea 10:10PM ET",6.876,"NYY"
"C","Tyler Flowers",3900,"Atl@Ari 09:40PM ET",6.000,"Atl"
"2B/3B","Yangervis Solarte",3900,"ChC@SD 10:10PM ET",7.975,"SD"
"OF/SS","Sean Rodriguez",3800,"Hou@Pit 07:05PM ET",4.644,"Pit"
"OF","Matt Joyce",3800,"Hou@Pit 07:05PM ET",4.615,"Pit"
"OF","Norichika Aoki",3800,"NYY@Sea 10:10PM ET",5.925,"Sea"
"OF","Matt Szczur",3800,"ChC@SD 10:10PM ET",3.774,"ChC"
"C","Chris Herrmann",3800,"Atl@Ari 09:40PM ET",6.278,"Ari"
"OF/SS","Chris Owings",3800,"Atl@Ari 09:40PM ET",6.605,"Ari"
"2B","Jonathan Schoop",3800,"Was@Bal 07:05PM ET",7.341,"Bal"
"3B","Alex Bregman",3800,"Hou@Pit 07:05PM ET",7.160,"Hou"
"1B/3B","David Freese",3700,"Hou@Pit 07:05PM ET",6.579,"Pit"
"OF","Ben Revere",3700,"Was@Bal 07:05PM ET",5.827,"Was"
"OF","Brandon Guyer",3700,"Cle@Oak 10:05PM ET",6.342,"Cle"
"2B","Josh Harrison",3700,"Hou@Pit 07:05PM ET",6.579,"Pit"
"2B","Starlin Castro",3700,"NYY@Sea 10:10PM ET",6.488,"NYY"
"2B","Scooter Gennett",3700,"Col@Mil 07:20PM ET",6.757,"Mil"
"1B","Christian Walker",3700,"Was@Bal 07:05PM ET",0,"Bal"
"OF","Jackie Bradley Jr.",3700,"Bos@TB 07:10PM ET",8.678,"Bos"
"2B/OF","Jace Peterson",3700,"Atl@Ari 09:40PM ET",5.627,"Atl"
"3B","Adonis Garcia",3700,"Atl@Ari 09:40PM ET",6.194,"Atl"
"3B","Luis Valbuena",3600,"Hou@Pit 07:05PM ET",6.767,"Hou"
"2B/SS","Stephen Drew",3600,"Was@Bal 07:05PM ET",4.569,"Was"
"3B","Brandon Snyder",3600,"Atl@Ari 09:40PM ET",2.792,"Atl"
"C","Welington Castillo",3600,"Atl@Ari 09:40PM ET",6.826,"Ari"
"OF","David Peralta",3600,"Atl@Ari 09:40PM ET",6.286,"Ari"
"C","Jason Castro",3600,"Hou@Pit 07:05PM ET",5.697,"Hou"
"OF","Leonys Martin",3600,"NYY@Sea 10:10PM ET",6.972,"Sea"
"OF","Hyun Soo Kim",3600,"Was@Bal 07:05PM ET",6.364,"Bal"
"2B","Ryan Schimpf",3600,"ChC@SD 10:10PM ET",8.091,"SD"
"OF","Domingo Santana",3600,"Col@Mil 07:20PM ET",5.600,"Mil"
"2B/3B","Tommy La Stella",3600,"ChC@SD 10:10PM ET",4.039,"ChC"
"OF","Chris Young",3500,"Bos@TB 07:10PM ET",5.625,"Bos"
