"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Kershaw",14000,"Ari@LAD 09:10PM ET",28.847,"LAD"
"SP","Jon Gray",12700,"Col@NYM 07:10PM ET",18.097,"Col"
"SP","Jose Fernandez",12600,"StL@Mia 07:10PM ET",25.674,"Mia"
"SP","Lance McCullers",12100,"Hou@Det 07:10PM ET",20.888,"Hou"
"SP","Cole Hamels",11800,"KC@Tex 08:05PM ET",20.114,"Tex"
"SP","Yu Darvish",11700,"KC@Tex 08:05PM ET",21.067,"Tex"
"SP","Justin Verlander",11600,"Hou@Det 07:10PM ET",20.740,"Det"
"SP","Hyun-Jin Ryu",10900,"Ari@LAD 09:10PM ET",0.500,"LAD"
"SP","Corey Kluber",10800,"Oak@Cle 07:10PM ET",22.065,"Cle"
"SP","Noah Syndergaard",10700,"Col@NYM 07:10PM ET",22.150,"NYM"
"SP","Chris Sale",10400,"CWS@Min 07:10PM ET",21.693,"CWS"
"SP","Jose Quintana",10400,"CWS@Min 07:10PM ET",19.488,"CWS"
"SP","Drew Pomeranz",10300,"Bos@LAA 09:05PM ET",20.461,"Bos"
"SP","Homer Bailey",10200,"Cin@SD 08:40PM ET",0,"Cin"
"SP","Dan Straily",10100,"Cin@SD 08:40PM ET",13.650,"Cin"
"SP","Kenta Maeda",10000,"Ari@LAD 09:10PM ET",16.478,"LAD"
"SP","Jacob deGrom",9900,"Col@NYM 07:10PM ET",18.105,"NYM"
"SP","Robbie Ray",9800,"Ari@LAD 09:10PM ET",16.093,"Ari"
"SP","Brandon McCarthy",9500,"Ari@LAD 09:10PM ET",21.210,"LAD"
"SP","Julio Teheran",9500,"Phi@Atl 07:10PM ET",18.226,"Atl"
"SP","Jon Moscot",9500,"Cin@SD 08:40PM ET",1.560,"Cin"
"SP","Anthony DeSclafani",9400,"Cin@SD 08:40PM ET",17.633,"Cin"
"SP","Carlos Martinez",9400,"StL@Mia 07:10PM ET",16.329,"StL"
"SP","Vince Velasquez",9400,"Phi@Atl 07:10PM ET",17.997,"Phi"
"SP","Carlos Carrasco",9200,"Oak@Cle 07:10PM ET",20.243,"Cle"
"SP","Michael Fulmer",9200,"Hou@Det 07:10PM ET",18.900,"Det"
"SP","Zack Greinke",9100,"Ari@LAD 09:10PM ET",17.156,"Ari"
"SP","Rick Porcello",9100,"Bos@LAA 09:05PM ET",18.298,"Bos"
"SP","Gerrit Cole",9000,"Pit@Mil 07:10PM ET",16.440,"Pit"
"SP","Alex Wood",9000,"Ari@LAD 09:10PM ET",14.414,"LAD"
"SP","Jeremy Hellickson",8900,"Phi@Atl 07:10PM ET",15.988,"Phi"
"SP","Scott Kazmir",8600,"Ari@LAD 09:10PM ET",15.388,"LAD"
"SP","Chad Bettis",8600,"Col@NYM 07:10PM ET",11.638,"Col"
"SP","Collin McHugh",8600,"Hou@Det 07:10PM ET",13.579,"Hou"
"SP","Danny Duffy",8500,"KC@Tex 08:05PM ET",10.963,"KC"
"SP","Archie Bradley",8500,"Ari@LAD 09:10PM ET",15.121,"Ari"
"SP","Dallas Keuchel",8400,"Hou@Det 07:10PM ET",14.833,"Hou"
"SP","Colby Lewis",8300,"KC@Tex 08:05PM ET",15.853,"Tex"
"SP","Steven Wright",8300,"Bos@LAA 09:05PM ET",18.990,"Bos"
"SP","Danny Salazar",8300,"Oak@Cle 07:10PM ET",21.237,"Cle"
"SP","Zach Davies",8300,"Pit@Mil 07:10PM ET",15.456,"Mil"
"SP","Tyson Ross",8200,"Cin@SD 08:40PM ET",0.800,"SD"
"SP","Jameson Taillon",8200,"Pit@Mil 07:10PM ET",14.171,"Pit"
"SP","Jerad Eickhoff",8200,"Phi@Atl 07:10PM ET",15.464,"Phi"
"SP","Lucas Sims",8200,"Phi@Atl 07:10PM ET",0,"Atl"
"SP","Cody Reed",8200,"Cin@SD 08:40PM ET",8.379,"Cin"
"SP","Adam Wainwright",8100,"StL@Mia 07:10PM ET",14.436,"StL"
"SP","Rich Hill",8100,"Oak@Cle 07:10PM ET",21.029,"Oak"
"SP","Junior Guerra",8100,"Pit@Mil 07:10PM ET",18.906,"Mil"
"SP","Mike Leake",8000,"StL@Mia 07:10PM ET",12.270,"StL"
"SP","Steven Matz",8000,"Col@NYM 07:10PM ET",16.273,"NYM"
"SP","Adam Conley",8000,"StL@Mia 07:10PM ET",15.724,"Mia"
"SP","Jose De Leon",7900,"Ari@LAD 09:10PM ET",0,"LAD"
"SP","Josh Tomlin",7800,"Oak@Cle 07:10PM ET",16.131,"Cle"
"SP","Rubby De La Rosa",7800,"Ari@LAD 09:10PM ET",12.895,"Ari"
"RP","Joe Musgrove",7800,"Hou@Det 07:10PM ET",0,"Hou"
"SP","Raisel Iglesias",7800,"Cin@SD 08:40PM ET",9.928,"Cin"
"SP","Ervin Santana",7700,"CWS@Min 07:10PM ET",13.450,"Min"
"SP","Aaron Nola",7700,"Phi@Atl 07:10PM ET",15.358,"Phi"
"SP","David Price",7600,"Bos@LAA 09:05PM ET",18.861,"Bos"
"SP","Robert Stephenson",7600,"Cin@SD 08:40PM ET",13.300,"Cin"
"SP","Brett Anderson",7500,"Ari@LAD 09:10PM ET",0,"LAD"
"SP","Matt Shoemaker",7500,"Bos@LAA 09:05PM ET",16.140,"LAA"
"SP","Zack Wheeler",7500,"Col@NYM 07:10PM ET",0,"NYM"
"SP","Tyler Anderson",7500,"Col@NYM 07:10PM ET",14.350,"Col"
"SP","Jose Berrios",7500,"CWS@Min 07:10PM ET",5.988,"Min"
"SP","Kyle Gibson",7400,"CWS@Min 07:10PM ET",12.000,"Min"
"SP","Mike Bolsinger",7400,"Ari@LAD 09:10PM ET",7.975,"LAD"
"SP","Tyler Glasnow",7400,"Pit@Mil 07:10PM ET",7.175,"Pit"
"SP","James Shields",7300,"CWS@Min 07:10PM ET",11.117,"CWS"
"SP","Ian Kennedy",7300,"KC@Tex 08:05PM ET",15.633,"KC"
"SP","Bud Norris",7300,"Ari@LAD 09:10PM ET",9.177,"LAD"
"SP","Tyler Skaggs",7300,"Bos@LAA 09:05PM ET",27.350,"LAA"
"SP","Taylor Jungmann",7200,"Pit@Mil 07:10PM ET",0.940,"Mil"
"SP","Miguel Gonzalez",7100,"CWS@Min 07:10PM ET",11.884,"CWS"
"SP","Brad Peacock",7100,"Hou@Det 07:10PM ET",0,"Hou"
"SP","Mike Foltynewicz",7100,"Phi@Atl 07:10PM ET",13.729,"Atl"
