"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Bubba Watson",12300,"Golf@Golf 06:00AM ET",73.714,"Golf"
"G","Branden Grace",11500,"Golf@Golf 06:00AM ET",74.316,"Golf"
"G","Brooks Koepka",11200,"Golf@Golf 06:00AM ET",66.375,"Golf"
"G","Patrick Reed",10900,"Golf@Golf 06:00AM ET",70.159,"Golf"
"G","Matt Kuchar",10600,"Golf@Golf 06:00AM ET",71.850,"Golf"
"G","Zach Johnson",10200,"Golf@Golf 06:00AM ET",61.222,"Golf"
"G","Webb Simpson",10000,"Golf@Golf 06:00AM ET",62.529,"Golf"
"G","Paul Casey",9900,"Golf@Golf 06:00AM ET",57.375,"Golf"
"G","Jon Rahm",9800,"Golf@Golf 06:00AM ET",83.800,"Golf"
"G","J.B. Holmes",9700,"Golf@Golf 06:00AM ET",63.594,"Golf"
"G","Daniel Berger",9600,"Golf@Golf 06:00AM ET",62.025,"Golf"
"G","Jim Furyk",9400,"Golf@Golf 06:00AM ET",46.864,"Golf"
"G","Louis Oosthuizen",9300,"Golf@Golf 06:00AM ET",58.250,"Golf"
"G","Gary Woodland",9100,"Golf@Golf 06:00AM ET",64.421,"Golf"
"G","Francesco Molinari",8900,"Golf@Golf 06:00AM ET",61.333,"Golf"
"G","Russell Knox",8600,"Golf@Golf 06:00AM ET",65.729,"Golf"
"G","Brendan Steele",8500,"Golf@Golf 06:00AM ET",59.925,"Golf"
"G","Kevin Chappell",8400,"Golf@Golf 06:00AM ET",61.636,"Golf"
"G","Tony Finau",8300,"Golf@Golf 06:00AM ET",56.500,"Golf"
"G","Marc Leishman",8200,"Golf@Golf 06:00AM ET",64.500,"Golf"
"G","Charley Hoffman",8100,"Golf@Golf 06:00AM ET",54.523,"Golf"
"G","Martin Laird",8000,"Golf@Golf 06:00AM ET",55.895,"Golf"
"G","Shane Lowry",7900,"Golf@Golf 06:00AM ET",51.806,"Golf"
"G","Ryan Moore",7800,"Golf@Golf 06:00AM ET",58.567,"Golf"
"G","Justin Thomas",7800,"Golf@Golf 06:00AM ET",64.190,"Golf"
"G","Brian Harman",7700,"Golf@Golf 06:00AM ET",58.360,"Golf"
"G","Soren Kjeldsen",7700,"Golf@Golf 06:00AM ET",56.447,"Golf"
"G","Tyrrell Hatton",7700,"Golf@Golf 06:00AM ET",68.844,"Golf"
"G","Keegan Bradley",7600,"Golf@Golf 06:00AM ET",48.239,"Golf"
"G","Daniel Summerhays",7600,"Golf@Golf 06:00AM ET",64.261,"Golf"
"G","Kyle Reifers",7500,"Golf@Golf 06:00AM ET",59.464,"Golf"
"G","Kevin Streelman",7500,"Golf@Golf 06:00AM ET",51.318,"Golf"
"G","Padraig Harrington",7400,"Golf@Golf 06:00AM ET",52.053,"Golf"
"G","Luke Donald",7300,"Golf@Golf 06:00AM ET",54.190,"Golf"
"G","Boo Weekley",7300,"Golf@Golf 06:00AM ET",56.136,"Golf"
"G","Bryson DeChambeau",7200,"Golf@Golf 06:00AM ET",51.857,"Golf"
"G","Colt Knost",7100,"Golf@Golf 06:00AM ET",59.932,"Golf"
"G","Retief Goosen",7000,"Golf@Golf 06:00AM ET",60.214,"Golf"
"G","Hudson Swafford",6900,"Golf@Golf 06:00AM ET",57.220,"Golf"
"G","Aaron Baddeley",6900,"Golf@Golf 06:00AM ET",58.826,"Golf"
"G","Patton Kizzire",6800,"Golf@Golf 06:00AM ET",58.761,"Golf"
"G","Fredrik Jacobson",6800,"Golf@Golf 06:00AM ET",59.727,"Golf"
"G","John Senden",6700,"Golf@Golf 06:00AM ET",53.896,"Golf"
"G","Ricky Barnes",6700,"Golf@Golf 06:00AM ET",54.920,"Golf"
"G","Steve Wheatcroft",6500,"Golf@Golf 06:00AM ET",51.386,"Golf"
"G","Robert Garrigus",6500,"Golf@Golf 06:00AM ET",56.125,"Golf"
"G","Jon Curran",6500,"Golf@Golf 06:00AM ET",53.058,"Golf"
"G","Jason Kokrak",6400,"Golf@Golf 06:00AM ET",52.565,"Golf"
"G","Russell Henley",6400,"Golf@Golf 06:00AM ET",50.762,"Golf"
"G","Ken Duke",6400,"Golf@Golf 06:00AM ET",44.156,"Golf"
"G","Smylie Kaufman",6400,"Golf@Golf 06:00AM ET",59.304,"Golf"
"G","Chris Stroud",6300,"Golf@Golf 06:00AM ET",49.391,"Golf"
"G","Jamie Lovemark",6300,"Golf@Golf 06:00AM ET",57.583,"Golf"
"G","Bryce Molder",6300,"Golf@Golf 06:00AM ET",54.976,"Golf"
"G","Chesson Hadley",6300,"Golf@Golf 06:00AM ET",47.174,"Golf"
"G","Michael Thompson",6200,"Golf@Golf 06:00AM ET",57.079,"Golf"
"G","Chez Reavie",6200,"Golf@Golf 06:00AM ET",58.932,"Golf"
"G","Robby Shelton",6200,"Golf@Golf 06:00AM ET",49.500,"Golf"
"G","Adam Hadwin",6200,"Golf@Golf 06:00AM ET",59.023,"Golf"
"G","Chad Campbell",6200,"Golf@Golf 06:00AM ET",55.750,"Golf"
"G","Seung-Yul Noh",6100,"Golf@Golf 06:00AM ET",50.109,"Golf"
"G","Troy Merritt",6100,"Golf@Golf 06:00AM ET",48.239,"Golf"
"G","Derek Fathauer",6100,"Golf@Golf 06:00AM ET",52.880,"Golf"
"G","James Hahn",6100,"Golf@Golf 06:00AM ET",51.455,"Golf"
"G","Mark Wilson",6100,"Golf@Golf 06:00AM ET",44.118,"Golf"
"G","Lucas Glover",6100,"Golf@Golf 06:00AM ET",55.571,"Golf"
"G","Thomas Aiken",6000,"Golf@Golf 06:00AM ET",51.523,"Golf"
"G","Jerry Kelly",6000,"Golf@Golf 06:00AM ET",52.750,"Golf"
"G","Brendon De Jonge",6000,"Golf@Golf 06:00AM ET",44.712,"Golf"
"G","Ben Crane",6000,"Golf@Golf 06:00AM ET",51.000,"Golf"
