"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Henrik Stenson",12400,"Golf@Golf 12:00AM ET",82.028,"Golf"
"G","Sergio Garcia",11900,"Golf@Golf 12:00AM ET",74.100,"Golf"
"G","Justin Rose",11500,"Golf@Golf 12:00AM ET",65.107,"Golf"
"G","Rickie Fowler",10900,"Golf@Golf 12:00AM ET",67.158,"Golf"
"G","Patrick Reed",10700,"Golf@Golf 12:00AM ET",70.159,"Golf"
"G","Bubba Watson",10500,"Golf@Golf 12:00AM ET",73.714,"Golf"
"G","Martin Kaymer",10300,"Golf@Golf 12:00AM ET",62.056,"Golf"
"G","Matt Kuchar",10100,"Golf@Golf 12:00AM ET",71.850,"Golf"
"G","Danny Willett",9900,"Golf@Golf 12:00AM ET",68.938,"Golf"
"G","Emiliano Grillo",9600,"Golf@Golf 12:00AM ET",62.548,"Golf"
"G","Rafael Cabrera-Bello",9200,"Golf@Golf 12:00AM ET",71.588,"Golf"
"G","Byeong-Hun An",8800,"Golf@Golf 12:00AM ET",62.382,"Golf"
"G","Thongchai Jaidee",8600,"Golf@Golf 12:00AM ET",56.167,"Golf"
"G","Soren Kjeldsen",8500,"Golf@Golf 12:00AM ET",56.447,"Golf"
"G","Danny Lee",8400,"Golf@Golf 12:00AM ET",59.320,"Golf"
"G","Jhonattan Vegas",8300,"Golf@Golf 12:00AM ET",63.955,"Golf"
"G","Kiradech Aphibarnrat",8200,"Golf@Golf 12:00AM ET",50.775,"Golf"
"G","Thomas Pieters",8100,"Golf@Golf 12:00AM ET",54.467,"Golf"
"G","David Lingmerth",8000,"Golf@Golf 12:00AM ET",59.188,"Golf"
"G","Jaco Van Zyl",7900,"Golf@Golf 12:00AM ET",57.458,"Golf"
"G","Bernd Wiesberger",7800,"Golf@Golf 12:00AM ET",57.700,"Golf"
"G","Scott Hend",7800,"Golf@Golf 12:00AM ET",64.262,"Golf"
"G","Padraig Harrington",7700,"Golf@Golf 12:00AM ET",52.053,"Golf"
"G","Anirban Lahiri",7700,"Golf@Golf 12:00AM ET",56.619,"Golf"
"G","Jeunghun Wang",7500,"Golf@Golf 12:00AM ET",48.000,"Golf"
"G","Joost Luiten",7500,"Golf@Golf 12:00AM ET",70.028,"Golf"
"G","Graham DeLaet",7400,"Golf@Golf 12:00AM ET",55.895,"Golf"
"G","David Hearn",7400,"Golf@Golf 12:00AM ET",56.040,"Golf"
"G","Thorbjorn Olesen",7300,"Golf@Golf 12:00AM ET",54.147,"Golf"
"G","Felipe Aguilar",7300,"Golf@Golf 12:00AM ET",49.438,"Golf"
"G","Matteo Manassero",7200,"Golf@Golf 12:00AM ET",43.000,"Golf"
"G","Yuta Ikeda",7200,"Golf@Golf 12:00AM ET",39.500,"Golf"
"G","Mikko Ilonen",7100,"Golf@Golf 12:00AM ET",56.233,"Golf"
"G","Wu Ashun",7100,"Golf@Golf 12:00AM ET",57.923,"Golf"
"G","Gregory Bourdy",7000,"Golf@Golf 12:00AM ET",66.325,"Golf"
"G","Nino Bertasio",7000,"Golf@Golf 12:00AM ET",55.964,"Golf"
"G","Nicolas Colsaerts",6900,"Golf@Golf 12:00AM ET",55.763,"Golf"
"G","Brandon Stone",6900,"Golf@Golf 12:00AM ET",58.094,"Golf"
"G","Fabrizio Zanotti",6800,"Golf@Golf 12:00AM ET",50.067,"Golf"
"G","Hao-Tong Li",6800,"Golf@Golf 12:00AM ET",50.955,"Golf"
"G","Ricardo Gouveia",6700,"Golf@Golf 12:00AM ET",51.889,"Golf"
"G","Marcus Fraser",6700,"Golf@Golf 12:00AM ET",47.464,"Golf"
"G","Cheng-Tsung Pan",6600,"Golf@Golf 12:00AM ET",0,"Golf"
"G","Alex Cejka",6600,"Golf@Golf 12:00AM ET",59.476,"Golf"
"G","Jose-Filipe Lima",6500,"Golf@Golf 12:00AM ET",42.375,"Golf"
"G","Julien Quesne",6500,"Golf@Golf 12:00AM ET",54.265,"Golf"
"G","Ryan Fox",6400,"Golf@Golf 12:00AM ET",39.722,"Golf"
"G","Seamus Power",6400,"Golf@Golf 12:00AM ET",0,"Golf"
"G","Espen Kofstad",6300,"Golf@Golf 12:00AM ET",27.667,"Golf"
"G","Fabian Gomez",6300,"Golf@Golf 12:00AM ET",49.591,"Golf"
"G","Danny Chia",6200,"Golf@Golf 12:00AM ET",42.000,"Golf"
"G","Gavin Green",6200,"Golf@Golf 12:00AM ET",21.000,"Golf"
"G","Miguel Tabuena",6100,"Golf@Golf 12:00AM ET",49.444,"Golf"
"G","Adilson Da Silva",6100,"Golf@Golf 12:00AM ET",44.800,"Golf"
"G","Wen-tang Lin",6000,"Golf@Golf 12:00AM ET",53.333,"Golf"
"G","Rodolfo Cazaubon",5900,"Golf@Golf 12:00AM ET",56.000,"Golf"
"G","Siddikur Rahman",5800,"Golf@Golf 12:00AM ET",42.000,"Golf"
"G","Shingo Katayama",5700,"Golf@Golf 12:00AM ET",47.000,"Golf"
"G","Roope Kakko",5600,"Golf@Golf 12:00AM ET",48.821,"Golf"
"G","Shiv Chawrasia",5500,"Golf@Golf 12:00AM ET",44.967,"Golf"
